date,description,amount
2026-03-01,AMAZON PRIME VIDEO PARCELA 1 REF001,-12.90
2026-03-02,YOUTUBE PREMIUM REF002,-49.50
2026-03-03,SABESP AGUA REF003,-86.99
2026-03-04,PAGAMENTO SALARIO REF004,145.90
2026-03-05,PADARIA BELA MANHA REF005,-160.75
2026-03-06,CONSULTORIA CONTABIL LIMA REF006,-197.20
2026-03-07,CONDOMINIO EDIFICIO SOL REF007,-234.45
2026-03-08,CLUBE DE CORRIDA REF008,-271.90
2026-03-09,SEGURO CARTAO REF009,-308.50
2026-03-10,TAXI APP CENTRO REF010,-345.99
2026-03-11,PET PLANET BANHO E TOSA REF011,-382.35
2026-03-12,AMAZON MARKETPLACE REF012,-419.75
2026-03-13,PIX RECEBIDO CLIENTE REF013,1200.00
2026-03-14,MERCADO BOA COMPRA REF014,-493.45
2026-03-15,ASSINATURA NEWSLETTER TECH REF015,-45.90
2026-03-16,CONSULTORIA CONTABIL LIMA REF016,-82.50
2026-03-17,ALURA ASSINATURA REF017,-119.99
2026-03-18,RESTAURANTE CENTRAL PARCELA 6 REF018,-156.35
2026-03-19,POSTO SHELL REF019,-193.75
2026-03-20,ALUGUEL MARCO REF020,-230.20
2026-03-21,PET PLANET BANHO E TOSA REF021,-267.45
2026-03-22,COWORKING VILA MADALENA REF022,-304.90
2026-03-23,CARREFOUR SUPERMARKET REF023,-341.50
2026-03-24,YOUTUBE PREMIUM REF024,-378.99
2026-03-25,SABESP AGUA REF025,-415.35
2026-03-26,AMAZON PRIME MEMBERSHIP REF026,-452.75
2026-03-27,PADARIA BELA MANHA REF027,-489.20
2026-03-28,DROGASIL FARMACIA REF028,-41.45
2026-03-29,PIX JOAO ALMOCO DIVIDIDO REF029,-78.90
2026-03-30,UDEMY CURSO JAVA REF030,-115.50
2026-03-31,PET PLANET BANHO E TOSA REF031,-152.99
2026-03-01,TAXI APP CENTRO REF032,-189.35
2026-03-02,MICROSOFT 365 REF033,-226.75
2026-03-03,AMAZON MARKETPLACE REF034,-263.20
2026-03-04,PIX RECEBIDO CLIENTE PARCELA 5 REF035,250.75
2026-03-05,CONSULTORIA CONTABIL LIMA REF036,-337.90
2026-03-06,DROGA RAIA REF037,-374.50
2026-03-07,ENEL ENERGIA REF038,-411.99
2026-03-08,ALURA ASSINATURA REF039,-448.35
2026-03-09,RESTAURANTE CENTRAL REF040,-485.75
2026-03-10,PET PLANET BANHO E TOSA REF041,-37.20
2026-03-11,ALUGUEL MARCO REF042,-74.45
2026-03-12,BARBEARIA NAVALHA FINA REF043,-111.90
2026-03-13,TARIFA BANCARIA PACOTE REF044,-148.50
2026-03-14,CARREFOUR SUPERMARKET REF045,-185.99
2026-03-15,CONSULTORIA CONTABIL LIMA REF046,-222.35
2026-03-16,SABESP AGUA REF047,-259.75
2026-03-17,PAGAMENTO SALARIO REF048,1200.00
2026-03-18,PADARIA BELA MANHA REF049,-333.45
2026-03-19,REPARO NOTEBOOK TECNICO REF050,-370.90
2026-03-20,AMAZON MARKETPLACE LIVROS REF051,-407.50
2026-03-21,UDEMY CURSO JAVA PARCELA 4 REF052,-444.99
2026-03-22,SEGURO CARTAO REF053,-481.35
2026-03-23,TAXI APP CENTRO REF054,-33.75
2026-03-24,MICROSOFT 365 REF055,-70.20
2026-03-25,CONSULTORIA CONTABIL LIMA REF056,-107.45
2026-03-26,PETSHOP MUNDO PET REF057,-144.90
2026-03-27,MERCADO BOA COMPRA REF058,-181.50
2026-03-28,DROGA RAIA REF059,-218.99
2026-03-29,ENEL ENERGIA REF060,-255.35
2026-03-30,PET PLANET BANHO E TOSA REF061,-292.75
2026-03-31,RESTAURANTE CENTRAL REF062,-329.20
2026-03-01,POSTO SHELL REF063,-366.45
2026-03-02,MUSEU ARTE MODERNA REF064,-403.90
2026-03-03,MERCADO LIVRE COMPRA REF065,-440.50
2026-03-04,CONSULTORIA CONTABIL LIMA REF066,-477.99
2026-03-05,CARREFOUR SUPERMARKET REF067,-29.35
2026-03-06,YOUTUBE PREMIUM REF068,-66.75
2026-03-07,SABESP AGUA PARCELA 3 REF069,-103.20
